LTP,expiry_date,option_type,strike_rate,option_chain_price,LTP_at_930,LTP_at_10,LTP_at_1015,LTP_at_1030,LTP_at_1230,LTP_at_1,LTP_at_130,nifty_low,nifty_high,nifty_open,nifty_price
23923.10,09JAN25,C,0,264.25,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23923.10
23924.85,09JAN25,C,0,264.25,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23924.85
23923.90,09JAN25,C,0,264.25,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23923.90
23924.70,09JAN25,C,0,264.25,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23924.70
23924.60,09JAN25,C,0,264.25,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23924.60
23924.55,09JAN25,C,0,264.25,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23924.55
23924.30,09JAN25,C,0,264.25,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23924.30
23924.15,09JAN25,C,0,264.25,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23924.15
23924.50,09JAN25,C,0,264.25,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23924.50
23923.10,09JAN25,C,0,264.25,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23923.10
23920.75,09JAN25,C,0,261.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23920.75
23921.70,09JAN25,C,0,261.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23921.70
23922.70,09JAN25,C,0,261.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23922.70
23923.50,09JAN25,C,0,261.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23923.50
23923.05,09JAN25,C,0,261.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23923.05
23919.65,09JAN25,C,0,261.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23919.65
23921.25,09JAN25,C,0,261.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23921.25
23923.45,09JAN25,C,0,261.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23923.45
23921.60,09JAN25,C,0,261.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23921.60
23921.00,09JAN25,C,0,261.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23921.00
23921.45,09JAN25,C,0,261.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23921.45
23921.55,09JAN25,C,0,261.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23921.55
23921.40,09JAN25,C,0,261.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23921.40
23921.80,09JAN25,C,0,261.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23921.80
23922.15,09JAN25,C,0,264.00,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23922.15
23924.70,09JAN25,C,0,264.00,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23924.70
23923.95,09JAN25,C,0,264.00,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23923.95
23925.15,09JAN25,C,0,264.00,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23925.15
23923.25,09JAN25,C,0,264.00,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23923.25
23925.30,09JAN25,C,0,264.00,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23925.30
23924.10,09JAN25,C,0,264.00,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23924.10
23925.20,09JAN25,C,0,264.00,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23925.20
23926.30,09JAN25,C,0,264.00,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23926.30
23928.95,09JAN25,C,0,264.00,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23928.95
23928.65,09JAN25,C,0,264.00,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23928.65
23929.00,09JAN25,C,0,264.00,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23929.00
23928.75,09JAN25,C,0,267.50,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23928.75
23930.40,09JAN25,C,0,267.50,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23930.40
23930.55,09JAN25,C,0,267.50,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23930.55
23930.40,09JAN25,C,0,267.35,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23930.40
23930.25,09JAN25,C,0,267.35,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23930.25
23929.25,09JAN25,C,0,267.35,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23929.25
23934.25,09JAN25,C,0,269.50,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23934.25
23934.75,09JAN25,C,0,270.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23934.75
23937.30,09JAN25,C,0,270.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23937.30
23935.65,09JAN25,C,0,270.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23935.65
23931.00,09JAN25,C,0,269.20,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23931.00
23932.30,09JAN25,C,0,269.60,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23932.30
23932.55,09JAN25,C,0,269.20,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23932.55
23932.45,09JAN25,C,0,269.20,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23932.45
23932.40,09JAN25,C,0,268.35,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23932.40
23933.20,09JAN25,C,0,268.35,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23933.20
23931.10,09JAN25,C,0,268.35,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23931.10
23931.75,09JAN25,C,0,268.35,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23931.75
23932.20,09JAN25,C,0,268.35,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23932.20
23933.10,09JAN25,C,0,268.35,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23933.10
23932.60,09JAN25,C,0,268.35,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23932.60
23934.10,09JAN25,C,0,268.35,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23934.10
23930.30,09JAN25,C,0,268.35,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23930.30
23932.05,09JAN25,C,0,268.35,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23932.05
23932.95,09JAN25,C,0,268.35,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23932.95
23933.75,09JAN25,C,0,268.35,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23933.75
23933.00,09JAN25,C,0,269.85,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23933.00
23932.50,09JAN25,C,0,269.85,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23932.50
23932.45,09JAN25,C,0,269.85,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23932.45
23933.95,09JAN25,C,0,269.85,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23933.95
23933.65,09JAN25,C,0,269.85,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23933.65
23933.05,09JAN25,C,0,269.85,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23933.05
23932.75,09JAN25,C,0,269.70,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23932.75
23932.85,09JAN25,C,0,269.70,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23932.85
23933.10,09JAN25,C,0,269.70,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23933.10
23933.70,09JAN25,C,0,269.80,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23933.70
23932.80,09JAN25,C,0,269.80,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23932.80
23933.95,09JAN25,C,0,269.80,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23933.95
23929.85,09JAN25,C,0,269.80,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23929.85
23931.55,09JAN25,C,0,269.80,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23931.55
23931.95,09JAN25,C,0,269.80,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23931.95
23932.75,09JAN25,C,0,269.80,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23932.75
23932.00,09JAN25,C,0,269.80,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23932.00
23932.90,09JAN25,C,0,269.80,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23932.90
23933.80,09JAN25,C,0,269.80,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23933.80
23932.75,09JAN25,C,0,269.80,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23932.75
23934.20,09JAN25,C,0,269.80,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23934.20
23933.00,09JAN25,C,0,269.50,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23933.00
23931.35,09JAN25,C,0,269.50,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23931.35
23932.25,09JAN25,C,0,269.50,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23932.25
23932.70,09JAN25,C,0,269.50,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23932.70
23933.85,09JAN25,C,0,270.00,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23933.85
23932.35,09JAN25,C,0,270.00,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23932.35
23934.10,09JAN25,C,0,270.00,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23934.10
23931.05,09JAN25,C,0,270.00,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23931.05
23932.10,09JAN25,C,0,269.20,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23932.10
23931.40,09JAN25,C,0,269.20,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23931.40
23931.25,09JAN25,C,0,267.95,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23931.25
23931.75,09JAN25,C,0,267.95,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23931.75
23931.40,09JAN25,C,0,267.95,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23931.40
23931.30,09JAN25,C,0,267.95,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23931.30
23930.60,09JAN25,C,0,267.95,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23930.60
23931.50,09JAN25,C,0,267.95,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23931.50
23931.55,09JAN25,C,0,267.95,23855.0,23919.05,23985.4,0,0,0,0,23800.60,23938.85,23801.40,23931.55
